token_id,category,mu_0,mu_1
336,content,0.38702056,-0.1087061
337,content,0.40609002,-0.07704047
338,content,0.031417936,0.64877015
339,content,0.38652816,0.0100188665
340,content,0.3889181,-0.008082485
341,content,0.06816512,0.94621736
342,content,0.3579947,0.4855013
343,content,0.3207626,0.4663294
344,content,0.26066664,0.73708993
345,content,0.38503966,0.018536702
346,content,0.34759223,0.4479484
347,content,0.33541664,0.48038006
348,content,0.3793623,0.038414966
349,content,0.38633046,-0.014106724
350,content,0.3872731,0.0014495796
351,content,0.26386893,-0.70964015
352,content,0.38977924,-0.012968662
353,content,0.30241063,-0.6616604
354,content,0.38708246,0.009271371
355,content,0.27108666,-0.7065112
356,content,0.3409053,0.553434
357,content,0.27736866,-0.7145969
358,content,0.38851017,-0.0063264756
359,content,0.92859465,-0.6507571
360,content,0.3853577,0.025787905
361,content,0.38254052,-0.25944853
362,content,0.38952807,-0.010384688
363,content,0.3863844,0.014359889
364,content,0.34943986,0.48842442
365,content,0.4045162,0.063766845
366,content,0.23920053,-0.67226607
367,content,0.40052006,-0.3242109
368,content,0.4912567,-0.77686095
369,content,0.38484812,0.01897393
370,content,0.3869369,-0.008334671
371,content,0.4138259,-0.0933965
372,content,0.35711202,-0.41184115
373,function,0.25247985,-0.6626336
374,content,0.3863052,0.01307775
375,content,0.38658106,0.0056458954
376,content,0.33658534,0.43634292
377,content,0.38690987,0.0035008246
378,content,0.38392836,-0.25314766
379,content,0.26977667,-0.7188293
380,content,0.059783902,0.984866
381,content,0.8406809,-0.6030149
382,content,0.33653158,0.47029456
383,content,0.2716521,-0.6978761
384,content,0.58754295,0.08572242
385,content,0.31789848,0.8063341
386,content,0.3894021,-0.012216642
387,content,0.3788542,0.047719844
388,content,0.32947117,0.45338175
389,function,0.25611922,-0.74726695
390,content,0.2576566,-0.7389015
391,content,0.374278,-0.37750584
392,function,0.38240936,0.81167364
393,function,0.2603987,-0.7613419
394,content,0.3479278,0.5405849
395,content,0.32835555,0.48238933
396,content,0.327741,0.9245176
397,content,0.3865341,-0.043716427
398,content,0.3875303,0.0018880866
399,content,0.37072363,0.49373806
400,content,0.38698083,-0.01830097
401,content,0.38877115,-0.0059546637
402,content,0.38666642,-0.122829266
403,content,0.39198792,-0.005947565
404,content,0.33122128,0.46242476
405,content,0.30403224,0.92726696
406,content,0.3857829,0.012364431
407,content,0.2590132,-0.77212983
408,content,-0.41260648,0.7699798
409,content,0.38922656,-0.0044749263
410,content,0.26055768,-0.8310596
411,content,0.38209727,0.006097715
412,content,0.3087861,0.8820392
413,content,0.34121716,-0.41421846
414,content,0.38885218,-0.005543953
415,content,0.38799143,0.016534362
416,content,0.3268288,0.42431033
417,content,0.38728136,0.0215081
418,content,0.38369164,-0.22370164
419,content,0.8148687,-0.752468
420,content,0.41564995,0.14785971
421,content,0.21440297,-0.008187039
422,content,0.32701796,0.43736923
423,content,0.26958153,-0.73782206
424,content,0.35588527,-0.002887238
425,content,0.38679212,0.0005504025
426,content,-0.072891235,1.092437
427,content,0.38783208,0.10791139
428,content,0.2605625,-0.74934554
429,content,0.31168112,-0.0013614754
430,content,0.3201826,0.4748158
431,content,0.3577584,0.64294493
432,content,0.2963589,-0.8118488
433,content,0.33260518,0.48375407
434,content,0.38613924,-0.0039190287
435,content,0.25356793,0.5416223
436,content,-0.13051571,1.105543
437,content,0.38751924,-0.035934247
438,content,-0.040681344,-0.1340634
439,content,-0.006652053,1.0860815
440,content,0.30814096,0.9627044
441,content,0.31348777,0.48416305
442,content,0.39533612,-0.06361889
443,content,0.3850584,0.008957192
444,content,0.3369674,0.45613503
445,content,0.28121677,-0.8975953
446,content,0.3634659,0.6345566
447,punct,-0.010932618,0.0071220445
448,content,0.38821772,-0.27819496
449,content,0.2752649,0.57769877
450,content,0.38622892,-0.2186222
451,content,0.34642488,0.51517683
452,content,0.38649598,0.006387832
453,content,0.38373742,-0.061258752
454,content,0.38763133,0.009464061
455,content,-0.00026253887,0.8920677
456,content,0.40473542,0.067374915
457,content,1.07502,-0.65241325
458,content,0.38743407,0.0056982343
459,content,0.3424524,-0.43041041
460,content,0.27704155,-0.73637515
461,content,0.50662524,0.2305578
462,content,0.38826156,-0.005060696
463,content,0.38440546,-0.0015915378
