token_id,category,mu_0,mu_1
301,content,0.3862146,-0.0066376696
302,content,0.38558027,-0.003391667
303,content,0.62332743,-0.5945292
304,content,0.28807524,1.1996738
305,content,0.38329118,0.021512365
306,content,0.38665757,-0.18092743
307,content,0.27059335,-0.7525733
308,content,0.57655156,0.20840554
309,content,0.2571964,-0.56759083
310,content,0.33799666,0.86165535
311,content,0.3815125,0.050627768
312,content,0.36628136,-0.43680683
313,content,0.3865926,-0.092703715
314,content,0.34775093,0.44268003
315,content,0.3315715,0.46994877
316,content,0.33797517,0.7738318
317,content,0.3872395,-0.06327503
318,function,0.2875244,-0.7922398
319,content,0.2874434,-0.9504017
320,content,0.29328644,0.4874414
321,content,0.485055,-0.32169968
322,content,0.50774425,0.24629723
323,content,0.3167473,0.49503094
324,content,0.3769574,0.8908693
325,content,0.30038506,-0.3015622
326,content,0.28152198,-0.88446045
327,content,0.38337404,0.027207647
328,content,0.32322267,0.4818879
329,function,0.29957476,-0.78001475
330,content,0.36828753,0.457516
331,content,0.29116407,-0.96032786
332,content,0.44404447,0.13090694
333,content,0.31675175,-0.19288465
334,content,0.3915242,0.034383275
335,content,0.3882172,0.05212384
336,content,0.38467717,-0.18908693
337,content,0.42146608,-0.084106594
338,content,-0.10234855,0.71134496
339,content,0.38471964,0.008800066
340,content,0.3862864,-0.008844388
341,content,0.01693415,0.96767855
342,content,0.36186007,0.5600238
343,content,0.31589895,0.49598712
344,content,0.19944952,0.7832474
345,content,0.38464725,0.020028343
346,content,0.3135211,0.48104513
347,content,0.25684756,0.54858726
348,content,0.3830078,0.038323034
349,content,0.3848579,-0.026681567
350,content,0.3885432,-0.0043627336
351,content,0.2599275,-0.7366516
352,content,0.38799375,-0.0071391114
353,content,0.3593918,-0.6811401
354,content,0.3841799,0.02179044
355,content,0.26205057,-0.7263623
356,content,0.2766816,0.6274403
357,content,0.2690095,-0.7624612
358,content,0.38581467,0.0063079232
359,content,0.9501934,-0.6555354
360,content,0.37919214,0.033235792
361,content,0.36267057,-0.35065988
362,content,0.38742968,-0.008833919
363,content,0.383626,0.012695424
364,content,0.35948431,0.55177927
365,content,0.5172219,0.08306509
366,content,0.26138258,-0.8146116
367,content,0.4298042,-0.36339006
368,content,0.5303903,-0.78030264
369,content,0.39268485,0.0040874775
370,content,0.3871639,-0.016969139
371,content,0.43584514,-0.10151182
372,content,0.3180386,-0.51201695
373,function,0.26283014,-0.76064354
374,content,0.3643654,0.020972826
375,content,0.38839242,0.0006708986
376,content,0.30029505,0.4895066
377,content,0.3882875,0.009710596
378,content,0.37411374,-0.37264958
379,content,0.2807553,-0.78812474
380,content,0.0008542679,1.0088413
381,content,0.8830193,-0.58636904
382,content,0.31111792,0.5136476
383,content,0.29656798,-0.7919851
384,content,0.65318376,0.088828884
385,content,0.2627062,0.880814
386,content,0.38759604,-0.008866316
387,content,0.3595091,0.056976404
388,content,0.3297855,0.4763842
389,function,0.26674336,-0.83076733
390,content,0.2665268,-0.8224671
391,content,0.3344909,-0.47851995
392,function,0.37500417,0.9379629
393,function,0.34794334,-0.9088536
394,content,0.36570674,0.59629565
395,content,0.32186937,0.50275147
396,content,0.2809435,1.0080434
397,content,0.37438565,-0.06527555
398,content,0.38956258,-0.009464872
399,content,0.38359377,0.5849547
400,content,0.38694745,-0.09214551
401,content,0.38764572,-0.0017751503
402,content,0.38078052,-0.20195681
403,content,0.3957772,-0.017601918
404,content,0.31645536,0.48362815
405,content,0.24761881,0.99967426
406,content,0.38731265,0.004335774
407,content,0.32326618,-0.8551756
408,content,-0.4986079,0.7822021
409,content,0.38940787,-0.013216059
410,content,0.2748629,-0.8834408
411,content,0.3714063,0.0053408644
