token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23
43,letter,-0.11141112,0.16466546,0.53187054,0.3119871,-0.09799344,-0.1642983,-0.504722,0.071800716,0.049400266,0.7662249,-0.035152245,-0.2250701,0.10597118,-0.048736755,0.81800306,0.26039183,0.076814786,-0.38389298,0.6301149,0.083400086,-0.018026467,-0.12442604,0.14079008,-0.03631082
44,letter,0.087111,0.050409976,0.052134488,-0.06372069,-0.11762971,0.239647,-0.41032484,-0.118172914,0.00913637,0.31851774,0.011297279,-0.16671734,0.09630576,-0.12824984,0.7157602,0.11850758,0.0031682272,0.060348317,0.83911234,-0.10683074,0.2886892,0.26759663,0.046514977,-0.20436448
45,letter,-0.04450293,0.10777549,0.29984698,0.28371266,0.19345473,-0.13825528,-0.44914126,0.30188903,0.20657055,1.0533845,-0.059297867,-0.31921035,0.061634704,-0.50839186,0.4851836,0.093626104,0.38950735,-0.3538285,0.5360057,0.3009396,0.37689748,0.067334145,-0.3216932,-0.13588753
46,letter,0.0603419,0.025894264,0.017059721,-0.11894389,0.154604,0.044548053,-0.7936134,0.33754045,0.20554817,0.5040461,0.19256328,-0.749883,0.16210964,-0.16856892,0.41164842,0.5136916,0.36685267,-0.41998664,0.53495014,-0.055582795,0.61179465,-0.38337436,0.28889096,0.24751566
47,letter,0.39696524,-0.319992,-0.13288496,0.40276626,0.14737627,-0.41658399,-0.5742911,0.79892313,-0.18687183,0.68114734,-0.06852527,-0.5000459,0.40688774,-0.2394876,1.3218509,0.482186,-0.13017295,-0.47678706,0.2623902,-0.036008872,0.4264542,0.038694646,0.28671524,-0.413995
48,letter,0.033424594,0.23961443,-0.41224885,0.14261305,-0.34781936,0.051962487,-0.59631336,0.3428575,-0.09105173,0.19000041,0.33122858,-0.40359068,0.36239293,-0.15236637,0.35235283,0.32383347,0.36357412,-0.30773577,0.3607751,0.36818418,0.58346105,0.07018822,0.11422686,0.4387845
49,letter,-0.067601845,0.35901007,0.08017101,0.03342834,-0.6401043,-0.017555807,-0.3688755,0.45900908,-0.16019876,0.5205521,-0.18991596,-0.05787417,0.4986476,-0.10511928,0.90879476,0.2812669,0.3866472,-0.1254414,0.7606121,0.46528733,0.112529576,-0.26863804,-0.3707552,-0.15358968
50,letter,0.03586791,-0.12141623,-0.033174504,-0.22190334,-0.3709305,0.17529713,0.06794698,0.7879096,-0.1840826,0.4867495,-0.4887396,-0.20315751,0.39444807,0.06369198,1.14909,0.12615597,0.089860246,-0.347667,0.32284778,0.12107052,0.3617107,-0.009233118,0.093752496,0.13083787
51,letter,0.15169786,-0.25233173,-0.16424955,0.054510057,0.19759342,0.25817755,-0.010138002,-0.05741612,-0.33346233,1.4533728,-0.06671879,-0.72537136,-0.09102346,-0.012215118,0.65931934,0.34461957,-0.3034722,-0.36199898,0.1138937,-0.07245113,0.3832778,0.43988523,0.28135893,-0.18809243
52,letter,0.10840416,-0.051440086,0.032640062,0.21087137,-0.24383807,-0.032501943,-0.554117,0.66983515,0.07438554,0.9468157,-0.35363352,-0.2891081,0.504505,-0.11355887,0.10932387,0.29650012,0.07812953,-0.2173106,0.52773243,0.08748928,0.44804934,0.1790917,0.10200394,-0.20972581
