token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4
247,punct,0.11172848,0.64249223,0.3355432,-0.35520792,-0.58314157
248,punct,0.10800107,-0.49805316,0.13214076,-1.1118664,0.21350382
249,punct,0.19018902,-0.68808794,0.22608642,-0.88237655,0.18295935
250,punct,0.51785827,-0.28495502,-0.4258507,-0.6616301,0.17090027
251,punct,0.28064194,-1.0742823,-0.03989214,0.32539573,-0.24369724
252,punct,0.45659003,-0.59073716,0.055403885,-1.2203231,0.24002889
253,punct,0.39506325,-0.06477876,-0.0227135,-1.3603294,0.11911398
254,punct,0.43051216,-0.8593034,0.24072821,-0.45732054,-0.068538085
255,punct,0.38232514,-0.36515167,-0.064753056,-1.0466456,0.17738506
256,content,-0.01576018,0.33400503,0.70005333,-0.2920533,-0.75028795
257,function,0.13501702,1.0623778,-0.36861646,-0.3353474,-0.5772079
258,content,-0.045540735,-1.019775,0.4891686,-0.00072689686,-0.23478106
259,function,-0.369554,-0.85249335,0.22864436,0.48296157,-0.29165775
260,content,-0.08925067,-1.0095528,0.011704674,0.16685577,-0.15638134
261,content,-0.2346779,-0.89136297,0.25138006,0.49729705,-0.348348
262,function,0.38979942,0.72152996,-0.088179894,-0.14148632,-0.4529978
263,content,-0.14937684,-0.9190597,0.1360866,0.47520217,-0.33677307
264,content,-0.035015114,0.33969817,0.40422684,0.042825036,-0.822817
265,content,-0.2496115,-0.6282844,0.52299124,0.35381982,-0.59223765
266,content,0.0064088213,0.38993257,0.7914046,-1.0620236,-0.5253321
267,content,-0.3237686,-0.842733,0.37789005,-0.66600233,0.10774037
268,content,-0.17583992,-0.97327656,0.23627289,0.39820758,-0.3349824
269,content,-0.31752235,-0.124845535,0.7724722,-0.047040958,-0.6577869
270,content,-0.17568167,-0.9169562,0.663433,0.14798027,-0.41139585
271,function,-0.1891514,-0.9420099,0.12896645,0.36542827,-0.2806592
272,function,-0.2136081,-0.81889474,0.36243302,0.50382864,-0.3420808
273,function,-0.21404131,-0.8786982,0.34304413,0.41648272,-0.4203532
274,content,-0.19568452,-0.97111017,-0.1504377,0.44724667,-0.12709723
275,content,-0.21147346,0.086005814,0.84453726,-0.20001218,-0.814124
276,content,0.039557807,0.1337697,-0.6218019,0.7955275,-0.58332425
277,content,-0.21255063,0.24675575,0.8801911,-0.8658196,-0.560811
278,content,0.16321005,-0.4880182,-0.7418035,0.50877964,-0.18842675
279,content,-0.4066759,0.14650099,0.9113231,-0.54627043,-0.63657874
280,content,-0.07125008,-1.0455391,0.24591586,-0.033134684,-0.06437097
281,function,0.10562098,1.0203506,-0.31384575,-0.3271507,-0.61393523
282,content,-0.19829881,-0.23912129,0.5006399,0.39152896,-0.7312851
283,content,-0.16343392,-0.74474144,0.4858665,0.3460685,-0.5441544
284,function,0.34654486,0.4627807,-0.7607234,-0.7604646,-0.025972908
285,content,-0.15239331,-0.04090041,0.5155953,0.14278355,-0.749819
286,function,0.56482023,0.30915457,-0.86125916,-0.2991999,-0.07958031
287,function,0.6061597,0.45834327,-0.8705967,-0.19685702,-0.120081216
288,content,-0.2059786,-0.08832986,0.75210524,-0.016361786,-0.7840225
289,content,-0.11758095,0.03934712,0.4586837,0.14410344,-0.8383869
290,function,0.12890182,-0.11492339,-0.89936924,-0.22311094,0.109011926
291,content,-0.009787205,0.13869567,0.49391398,0.06827644,-0.7582769
292,content,-0.17266239,-0.88257706,0.2040507,0.44033903,-0.3704999
293,content,-0.077419154,-1.0543729,0.11557989,0.28853583,-0.13064913
294,content,-0.052929003,-0.35233158,1.1587561,-0.5887129,-0.49862742
295,content,-0.3192096,-0.9057471,0.2164034,0.5538962,-0.34292892
296,content,-0.10336596,-0.83918965,0.74526197,0.079885244,-0.4535717
297,content,-0.2119903,-0.95895916,0.2486804,-0.2715858,-0.0010797024
298,content,-0.33123958,-0.84279424,0.56157535,0.41093758,-0.38436067
299,content,-0.29538193,-0.82311606,0.6685982,-0.430724,-0.19615723
